Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population
8779-QRDMV,Male,78,No,Yes,No,No,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701
7495-OOKFY,Female,74,No,Yes,Yes,Yes,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668
1658-BYGOY,Male,71,No,Yes,No,Yes,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534
4598-XLKNJ,Female,78,No,Yes,Yes,Yes,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778
4846-WHAFZ,Female,80,No,Yes,Yes,Yes,1,United States,California,Whittier,90602,33.972119,-118.020188,26265
4412-YLTKF,Female,72,No,Yes,No,Yes,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288
0390-DCFDQ,Female,76,No,Yes,Yes,Yes,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343
3445-HXXGF,Male,66,No,Yes,Yes,No,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558
2656-FMOKZ,Female,70,No,Yes,No,Yes,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742
2070-FNEXE,Female,77,No,Yes,No,Yes,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369
0094-OIFMO,Female,78,No,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146
9947-OTFQU,Male,65,No,Yes,No,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817
9514-JDSKI,Male,77,No,Yes,Yes,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660
7273-TEFQD,Male,67,No,Yes,No,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802
3606-TWKGI,Male,68,No,Yes,No,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342
4385-GZQXV,Female,68,No,Yes,No,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474
3488-PGMQJ,Male,66,No,Yes,No,No,0,United States,California,Alpine,91901,32.827184,-116.703729,16486
7534-BFESC,Male,69,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
8098-LLAZX,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
0265-EDXBD,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
2840-XANRC,Male,77,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
5020-ZSTTY,Female,70,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
5804-LEPIM,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
0623-IIHUG,Female,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
9057-MSWCO,Male,71,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
4895-TMWIR,Male,79,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
0533-BNWKF,Female,66,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
0334-GDDSO,Male,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902
5564-NEMQO,Female,80,No,Yes,No,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018
6235-VDHOM,Female,77,No,Yes,No,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999
5609-CEBID,Female,77,No,Yes,No,No,0,United States,California,Hemet,92544,33.644585,-116.871544,39264
5956-VKDTT,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214
0257-ZESQC,Female,80,No,Yes,Yes,No,0,United States,California,Perris,92571,33.828289,-117.201666,26357
2865-TCHJW,Female,74,No,Yes,No,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301
5192-EBGOV,Female,68,No,Yes,No,No,0,United States,California,Brea,92823,33.924143,-117.79387,1408
3419-SNJJD,Female,78,No,Yes,Yes,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893
4554-YGZIH,Male,75,No,Yes,Yes,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576
5099-BAILX,Male,77,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727
